id,theme_id,difficulty,statement_md,reference_solution_md,source,tags
354,teoriya-chisel,medium,"Найди сумму всех целых оснований $ b > 9, $ для которых $ 17_b $ является делителем $ 97_b.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Представим числа в десятичной системе счисления: $17_b = 1*b + 7 = b+7$ и $97_b = 9*b + 7 = 9b+7$. По условию, $b+7$ является делителем $9b+7$. Тогда $9b+7 = k(b+7)$ для некоторого целого $k$. Выразим $9b+7$ через $b+7$: $9b+7 = 9(b+7) - 63 + 7 = 9(b+7) - 56$. Так как $b+7$ делит $9(b+7)$, то $b+7$ должно делить и $-56$, то есть $b+7$ должно быть делителем 56. Делители 56: 1, 2, 4, 7, 8, 14, 28, 56. Тогда $b+7$ может принимать значения 8, 14, 28, 56. Соответственно, $b$ может принимать значения 1, 7, 21, 49. По условию $b > 9$, поэтому $b$ может быть 21 или 49. Сумма всех возможных значений $b$ равна $21+49 = 70$. Ответ: 70.000",user-dataset,
355,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(\sqrt{1+x}-\sqrt{1-x})/(\sqrt[3]{1+x}-\sqrt[3]{1-x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим числитель и знаменатель на сопряженные выражения. 

$\displaystyle \lim_{x \rightarrow 0} \frac{\sqrt{1+x}-\sqrt{1-x}}{\sqrt[3]{1+x}-\sqrt[3]{1-x}} = \lim_{x \rightarrow 0} \frac{(\sqrt{1+x}-\sqrt{1-x})(\sqrt{1+x}+\sqrt{1-x})(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})}{(\sqrt[3]{1+x}-\sqrt[3]{1-x})(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{(1+x - (1-x))(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})}{(1+x - (1-x))(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{2x(\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2})}{2x(\sqrt{1+x}+\sqrt{1-x})} = \lim_{x \rightarrow 0} \frac{\sqrt[3]{(1+x)^2} + \sqrt[3]{1+x}\sqrt[3]{1-x} + \sqrt[3]{(1-x)^2}}{\sqrt{1+x}+\sqrt{1-x}} = \frac{1+1+1}{1+1} = \frac{3}{2} = 1.5$

Ответ: 1.500",user-dataset,
356,statistika,medium,Постройте моментную оценку для параметра λ в экспоненциальной модели и докажите её состоятельность.,"Пусть $X_1, ..., X_n$ - выборка из экспоненциального распределения с параметром $\lambda$. Моментная оценка находится приравниванием теоретического момента к выборочному.  Теоретический момент $E[X] = \frac{1}{\lambda}$. Выборочный момент $\overline{X} = \frac{1}{n} \sum_{i=1}^n X_i$. Приравниваем: $\frac{1}{\lambda} = \frac{1}{n} \sum_{i=1}^n X_i$. Отсюда, моментная оценка для $\lambda$ есть $\hat{\lambda} = \frac{n}{\sum_{i=1}^n X_i} = \frac{1}{\overline{X}}$.

Состоятельность: По закону больших чисел, $\overline{X} \to E[X] = \frac{1}{\lambda}$ по вероятности при $n \to \infty$.  Так как функция $g(x) = \frac{1}{x}$ непрерывна при $x > 0$, то по теореме о непрерывном отображении, $g(\overline{X}) = \frac{1}{\overline{X}} \to g(\frac{1}{\lambda}) = \lambda$ по вероятности. Следовательно, $\hat{\lambda}$ состоятельна.",user-dataset,
357,matematicheskii-analiz,easy,"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\sqrt[3]{n^3 - 2n}}{n + 2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Разделим числитель и знаменатель на n: 

$\displaystyle \lim_{n \to \infty} \frac{\sqrt[3]{n^3 - 2n}}{n + 2} = \lim_{n \to \infty} \frac{\sqrt[3]{1 - \frac{2}{n^2}}}{1 + \frac{2}{n}} = \frac{\sqrt[3]{1 - 0}}{1 + 0} = 1$

Ответ: 1.000",user-dataset,
358,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \int_0^2 (2x-1)/(2x+1) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",$\displaystyle \int_0^2 \frac{2x-1}{2x+1} dx = \int_0^2 \frac{2x+1-2}{2x+1} dx = \int_0^2 (1 - \frac{2}{2x+1}) dx = \int_0^2 1 dx - 2\int_0^2 \frac{1}{2x+1} dx = [x]_0^2 - [\ln(2x+1)]_0^2 = 2 - (\ln(5) - \ln(1)) = 2 - \ln(5) \approx 2 - 1.609 = 0.391$,user-dataset,
359,matematicheskii-analiz,easy,"Найдите сумму ряда: $\displaystyle \frac{1}{1 \cdot 2} + \frac{1}{2 \cdot 3} + \frac{1}{3 \cdot 4} + \frac{1}{4 \cdot 5} + \ldots$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Представим каждый член ряда в виде разности двух дробей: $\frac{1}{n(n+1)} = \frac{1}{n} - \frac{1}{n+1}$.
Тогда сумма ряда равна: $(\frac{1}{1} - \frac{1}{2}) + (\frac{1}{2} - \frac{1}{3}) + (\frac{1}{3} - \frac{1}{4}) + \ldots$.
Это телескопический ряд, и его сумма равна 1.
Ответ: 1.000",user-dataset,
360,matematicheskii-analiz,easy,"Вычислить несобственный интеграл: $\displaystyle \int_{-\infty}^{+\infty} \frac{dx}{1+x^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Интеграл является табличным: $\int_{-\infty}^{+\infty} \frac{dx}{1+x^2} = \arctan(x) |_{-\infty}^{+\infty} = \frac{\pi}{2} - (-\frac{\pi}{2}) = \pi \approx 3.142$,user-dataset,
361,matematicheskii-analiz,medium,"Рассмотрим \(f\in C^{n+1}([a,b])\). Требуется установить формулу Тейлора с остатком Лагранжа: \(f(x)=\sum_{k=0}^n \frac{f^{(k)}(x_0)}{k!}(x-x_0)^k+\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}\).",Формула Тейлора с остатком Лагранжа: \(f(x)=\sum_{k=0}^n \frac{f^{(k)}(x_0)}{k!}(x-x_0)^k+\frac{f^{(n+1)}(\xi)}{(n+1)!}(x-x_0)^{n+1}\),user-dataset,
362,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \int_1^2 (x^2+1/x + 1/x^3) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","$\displaystyle \int_1^2 (x^2+1/x + 1/x^3) dx = \int_1^2 x^2 dx + \int_1^2 \frac{1}{x} dx + \int_1^2 \frac{1}{x^3} dx = \frac{x^3}{3} \Big|_1^2 + \ln|x| \Big|_1^2 + \frac{x^{-2}}{-2} \Big|_1^2 = (\frac{8}{3} - \frac{1}{3}) + (\ln 2 - \ln 1) + (-\frac{1}{8} + \frac{1}{2}) = \frac{7}{3} + \ln 2 + \frac{3}{8} = \frac{56+9}{24} + \ln 2 = \frac{65}{24} + \ln 2 \approx 2.708 + 0.693 = 3.401$

Ответ: 3.401",user-dataset,
363,matematicheskii-analiz,medium,"Докажите признак Дирихле для рядов: если частичные суммы A_n=∑_{k=1}^n a_k ограничены, а b_n монотонно → 0, то ∑ a_n b_n сходится.","Применяем преобразование Абеля: \(\sum_{k=1}^n a_k b_k = A_n b_n + \sum_{k=1}^{n-1} A_k (b_k - b_{k+1})\). Так как \(A_n\) ограничены, а \(b_n \to 0\), то \(A_n b_n \to 0\). Ряд \(\sum_{k=1}^{n-1} A_k (b_k - b_{k+1})\) сходится абсолютно, так как \(b_k - b_{k+1}\) одного знака и \(\sum_{k=1}^{n-1} |b_k - b_{k+1}| = |b_1 - b_n| \le |b_1| + |b_n| \to |b_1|\). Следовательно, ряд \(\sum a_n b_n\) сходится.",user-dataset,
364,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow \pi/3}(\operatorname{tg}^3x-3\operatorname{tg}x)/\cos(x+\pi/6)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть $t = x - \frac{\pi}{3}$. Тогда $x = t + \frac{\pi}{3}$.

$\displaystyle \lim_{x \rightarrow \pi/3} \frac{\operatorname{tg}^3x-3\operatorname{tg}x}{\cos(x+\pi/6)} = \lim_{t \rightarrow 0} \frac{\operatorname{tg}^3(t+\pi/3)-3\operatorname{tg}(t+\pi/3)}{\cos(t+\pi/2)} = \lim_{t \rightarrow 0} \frac{\operatorname{tg}^3(t+\pi/3)-3\operatorname{tg}(t+\pi/3)}{-\sin(t)}$

$\operatorname{tg}(t+\pi/3) = \frac{\operatorname{tg}t + \operatorname{tg}(\pi/3)}{1 - \operatorname{tg}t \operatorname{tg}(\pi/3)} = \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t}$

$\operatorname{tg}^3(t+\pi/3) - 3\operatorname{tg}(t+\pi/3) = \operatorname{tg}(t+\pi/3)(\operatorname{tg}^2(t+\pi/3) - 3) = \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \left( \frac{(\operatorname{tg}t + \sqrt{3})^2}{(1 - \sqrt{3}\operatorname{tg}t)^2} - 3 \right) = \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \frac{(\operatorname{tg}t + \sqrt{3})^2 - 3(1 - \sqrt{3}\operatorname{tg}t)^2}{(1 - \sqrt{3}\operatorname{tg}t)^2} = \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \frac{\operatorname{tg}^2t + 2\sqrt{3}\operatorname{tg}t + 3 - 3(1 - 2\sqrt{3}\operatorname{tg}t + 3\operatorname{tg}^2t)}{(1 - \sqrt{3}\operatorname{tg}t)^2} = \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \frac{\operatorname{tg}^2t + 2\sqrt{3}\operatorname{tg}t + 3 - 3 + 6\sqrt{3}\operatorname{tg}t - 9\operatorname{tg}^2t}{(1 - \sqrt{3}\operatorname{tg}t)^2} = \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \frac{-8\operatorname{tg}^2t + 8\sqrt{3}\operatorname{tg}t}{(1 - \sqrt{3}\operatorname{tg}t)^2} = \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \frac{8\operatorname{tg}t(\sqrt{3} - \operatorname{tg}t)}{(1 - \sqrt{3}\operatorname{tg}t)^2}

$\displaystyle \lim_{t \rightarrow 0} \frac{\operatorname{tg}^3(t+\pi/3)-3\operatorname{tg}(t+\pi/3)}{-\sin(t)} = \lim_{t \rightarrow 0} \frac{\frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \frac{8\operatorname{tg}t(\sqrt{3} - \operatorname{tg}t)}{(1 - \sqrt{3}\operatorname{tg}t)^2}}{-\sin(t)} = \lim_{t \rightarrow 0} \frac{\operatorname{tg}t}{\sin t} \frac{\operatorname{tg}t + \sqrt{3}}{1 - \sqrt{3}\operatorname{tg}t} \frac{8(\sqrt{3} - \operatorname{tg}t)}{-(1 - \sqrt{3}\operatorname{tg}t)^2} = 1 \cdot \frac{\sqrt{3}}{1} \cdot \frac{8\sqrt{3}}{-1} = -24$

Ответ: -24.000",user-dataset,
365,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} (1/(1*2)+1/(2*3)+...+1/(n*(n+1))$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Заметим, что \(\frac{1}{k(k+1)} = \frac{1}{k} - \frac{1}{k+1}\). Тогда сумма равна \(\sum_{k=1}^{n} \frac{1}{k(k+1)} = \sum_{k=1}^{n} (\frac{1}{k} - \frac{1}{k+1}) = 1 - \frac{1}{n+1}\). Следовательно, \(\lim_{n \rightarrow \infty} (1 - \frac{1}{n+1}) = 1 - 0 = 1\). Ответ: 1.000",user-dataset,
366,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow -2}(\sqrt[3]{x-6}+2)/(x^3+8)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Преобразуем выражение, используя формулу суммы кубов и замену переменной. Пусть $y = \sqrt[3]{x-6}$. Тогда $y^3 = x-6$, и $x = y^3 + 6$. Когда $x \rightarrow -2$, $y \rightarrow \sqrt[3]{-2-6} = \sqrt[3]{-8} = -2$. 

Тогда предел можно переписать как:

$\displaystyle \lim_{y \rightarrow -2} \frac{y+2}{(y^3+6)^3+8} = \lim_{y \rightarrow -2} \frac{y+2}{y^9 + 18y^6 + 108y^3 + 216 + 8} = \lim_{y \rightarrow -2} \frac{y+2}{y^9 + 18y^6 + 108y^3 + 224}$

Воспользуемся правилом Лопиталя:

$\displaystyle \lim_{y \rightarrow -2} \frac{1}{9y^8 + 108y^5 + 324y^2} = \frac{1}{9(-2)^8 + 108(-2)^5 + 324(-2)^2} = \frac{1}{9(256) + 108(-32) + 324(4)} = \frac{1}{2304 - 3456 + 1296} = \frac{1}{144} \approx 0.006944$

Округляя до 3 знаков после запятой, получаем 0.007.

Ответ: 0.007",user-dataset,
367,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow 0} x^2/(\sqrt{1+x\sin x}-\sqrt{\cos x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Умножим числитель и знаменатель на сопряженное выражение к знаменателю: 

$\displaystyle \lim_{x \rightarrow 0} \frac{x^2}{\sqrt{1+x\sin x}-\sqrt{\cos x}} = \lim_{x \rightarrow 0} \frac{x^2(\sqrt{1+x\sin x}+\sqrt{\cos x})}{1+x\sin x - \cos x}$.

Используем разложения в ряд Тейлора: $\sin x = x - x^3/6 + O(x^5)$, $\cos x = 1 - x^2/2 + x^4/24 + O(x^6)$.

Тогда $x\sin x = x^2 - x^4/6 + O(x^6)$, и $1 + x\sin x = 1 + x^2 - x^4/6 + O(x^6)$.

Знаменатель: $1 + x\sin x - \cos x = 1 + x^2 - x^4/6 - (1 - x^2/2 + x^4/24) + O(x^6) = 3x^2/2 - 5x^4/24 + O(x^6)$.

$\displaystyle \lim_{x \rightarrow 0} \frac{x^2(\sqrt{1+x\sin x}+\sqrt{\cos x})}{3x^2/2 - 5x^4/24 + O(x^6)} = \lim_{x \rightarrow 0} \frac{\sqrt{1+x\sin x}+\sqrt{\cos x}}{3/2 - 5x^2/24 + O(x^4)} = \frac{\sqrt{1+0}+\sqrt{1}}{3/2} = \frac{2}{3/2} = \frac{4}{3} \approx 1.333$.

Ответ: 1.333",user-dataset,
368,nan,medium,"Пусть $a$ — положительный корень уравнения $x^{2017} - x - 1 = 0$, а $b$ — положительный корень уравнения $y^{4034} - y = 3a$. Найдите десятый знак после запятой числа $|a - b|$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
369,matematicheskii-analiz,medium,"Вычислить интеграл: $\displaystyle \int_{0}^{12} \frac{x}{\sqrt{2x+1}} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Сделаем замену $u = 2x+1$, тогда $x = (u-1)/2$ и $dx = du/2$. Пределы интегрирования изменятся: $x=0 \Rightarrow u=1$ и $x=12 \Rightarrow u=25$. Тогда интеграл примет вид:

$\displaystyle \int_{1}^{25} \frac{(u-1)/2}{\sqrt{u}} \frac{du}{2} = \frac{1}{4} \int_{1}^{25} (u^{1/2} - u^{-1/2}) du = \frac{1}{4} [\frac{2}{3}u^{3/2} - 2u^{1/2}]_1^{25} = \frac{1}{4} [\frac{2}{3}(125-1) - 2(5-1)] = \frac{1}{4} [\frac{2}{3} \cdot 124 - 8] = \frac{1}{4} [\frac{248}{3} - \frac{24}{3}] = \frac{1}{4} \cdot \frac{224}{3} = \frac{56}{3} \approx 18.667$

Ответ: 18.667",user-dataset,
370,veroyatnost,medium,"Найти вероятность, что четырехзначный номер автомобиля имеет две пары одинаковых цифр. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Всего четырехзначных номеров 9 * 10 * 10 * 10 = 9000 (первая цифра не 0). 
Выбрать две цифры из 10 можно C(10, 2) = 45 способами. 
Выбрать позиции для первой пары C(4, 2) = 6 способами. 
Оставшиеся две позиции займет вторая пара. 
Итого, благоприятных исходов 45 * 6 = 270. 
Вероятность равна 270 / 9000 = 0.03. 
Ответ: 0.030",user-dataset,
371,nan,medium,Докажите неравенство Минковского: \(\|f+g\|_{L^p}\le \|f\|_{L^p}+\|g\|_{L^p}\) для \(1\le p\le\infty\).,nan,user-dataset,
372,matematicheskii-analiz,easy,"Докажите: если ряд ∑ a_n с a_n≥0 сходится, то a_n→0.","Пусть ряд \(\sum a_n\) сходится. Тогда последовательность частичных сумм \(S_n = \sum_{k=1}^n a_k\) имеет предел \(S\). Так как \(a_n \ge 0\), то \(S_n\) монотонно возрастает и ограничена сверху. Тогда \(a_n = S_n - S_{n-1}\). При \(n \to \infty\) имеем \(S_n \to S\) и \(S_{n-1} \to S\). Следовательно, \(a_n \to S - S = 0\).

Ответ: \(a_n \to 0\)",user-dataset,
373,algebra,hard,"Пусть $a$ — положительный корень уравнения $x^{2017} - x - 1 = 0$, а $b$ — положительный корень уравнения $y^{4034} - y = 3a$. Найдите десятый знак после запятой числа $|a - b|$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть $f(x) = x^{2017} - x - 1$. Тогда $f(a) = 0$, то есть $a^{2017} = a + 1$. Заметим, что $a > 1$. Также, $a^{2017} = a+1 < 2a$ при $a < 2$. Значит, $1 < a < 2$. 

Пусть $g(y) = y^{4034} - y - 3a$. Тогда $g(b) = 0$, то есть $b^{4034} = b + 3a$. Заметим, что $b > 0$. 

Заметим, что $a^{2017} = a+1$. Тогда $a^{4034} = (a+1)^2 = a^2 + 2a + 1$. 

Если $b = a$, то $a^{4034} = a + 3a = 4a$. Тогда $a^2 + 2a + 1 = 4a$, то есть $a^2 - 2a + 1 = 0$, то есть $(a-1)^2 = 0$, то есть $a = 1$. Но $a > 1$, поэтому $b \neq a$. 

Если $b = a + \epsilon$, где $\epsilon$ мало, то $(a+\epsilon)^{4034} = a + \epsilon + 3a = 4a + \epsilon$. 

$(a+\epsilon)^{4034} \approx a^{4034} + 4034 a^{4033} \epsilon = a^2 + 2a + 1 + 4034 a^{4033} \epsilon$. 

Тогда $a^2 + 2a + 1 + 4034 a^{4033} \epsilon = 4a + \epsilon$. 

$4034 a^{4033} \epsilon - \epsilon = 2a - a^2 - 1 = -(a-1)^2$. 

$\epsilon (4034 a^{4033} - 1) = -(a-1)^2$. 

$\epsilon = \frac{-(a-1)^2}{4034 a^{4033} - 1}$. 

Так как $a \approx 1$, то $\epsilon \approx \frac{-(a-1)^2}{4033}$. 

$|a - b| = |\epsilon| \approx \frac{(a-1)^2}{4033}$. 

$a^{2017} - a - 1 = 0$. Пусть $a = 1 + \delta$. Тогда $(1+\delta)^{2017} - (1+\delta) - 1 = 0$. 

$1 + 2017 \delta + O(\delta^2) - 1 - \delta - 1 = 0$. 

$2016 \delta \approx 1$. $\delta \approx \frac{1}{2016}$. 

$a \approx 1 + \frac{1}{2016}$. 

$a - 1 \approx \frac{1}{2016}$. 

$|a - b| \approx \frac{(a-1)^2}{4033} \approx \frac{1}{2016^2 \cdot 4033} \approx \frac{1}{16326213632} \approx 6.125 \cdot 10^{-11}$. 

Десятый знак после запятой: 0. Округляем до 3 знаков после запятой: 0.000",user-dataset,
374,matematicheskii-analiz,easy,"Вычисли $ \displaystyle \lim_{n \rightarrow \infty} 10000n/(n^2+1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Разделим числитель и знаменатель на n^2: 
$\displaystyle \lim_{n \rightarrow \infty} \frac{10000n}{n^2+1} = \lim_{n \rightarrow \infty} \frac{10000/n}{1+1/n^2} = \frac{0}{1+0} = 0$.
Ответ: 0.000",user-dataset,
375,lineinaya-algebra,medium,"Пусть \(X_1,\dots,X_n\) и матрица дизайна \(X\) полного столбцового ранга. Требуется установить существование и форму МНК-оценки \(\hat\beta=(X^TX)^{-1}X^Ty\) как решения условия ортогональности остатков.","Условие ортогональности остатков: X^T(y - X\beta) = 0.  Решение этого уравнения относительно \beta дает МНК-оценку: X^Ty - X^TX\beta = 0 => X^TX\beta = X^Ty => \hat{\beta} = (X^TX)^{-1}X^Ty. Существование обеспечивается полным столбцовым рангом матрицы X, что гарантирует обратимость X^TX. Ответ: \hat{\beta} = (X^TX)^{-1}X^Ty",user-dataset,
376,nan,medium,"Вычисли $ \displaystyle \lim_{x \rightarrow \pi/6}(2\sin^2 x + \sin x - 1)/(2\sin^2 x -3 \sin x +1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
377,nan,medium,Пусть \(A\) — нормальная. Требуется установить формулу Гельфанда: \(\rho(A)=\lim_{k\to\infty}\|A^k\|^{1/k}\) для любой индуцированной нормы.,nan,user-dataset,
378,matematicheskii-analiz,hard,"Пусть \(f\in L^1([0,1])\) и \(S_N(x)=\sum_{k=-N}^N \hat f(k)e^{ikx}\). Требуется установить \(\|S_N\|_{L^1}\) ограниченность и \( \hat f(k)\to 0\).","Для установления \(\|S_N\|_{L^1}\) ограниченности и \( \hat f(k)\to 0\) требуется привлечение теорем и методов из теории рядов Фурье и функционального анализа. Ограниченность \(\|S_N\|_{L^1}\) связана с принципом равномерной ограниченности и свойствами ядра Дирихле. Сходимость коэффициентов Фурье к нулю (лемма Римана-Лебега) является фундаментальным результатом. Без дополнительных условий на функцию f, установить точную оценку для \(\|S_N\|_{L^1}\) затруднительно. \( \hat f(k)\to 0\)",user-dataset,
379,matematicheskii-analiz,hard,"Вычислить интеграл: $\displaystyle \int_{2}^{3} e^{x^2} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Интеграл $\displaystyle \int_{2}^{3} e^{x^2} dx$ не выражается через элементарные функции. Численное интегрирование дает приближенное значение. Используя численные методы (например, метод трапеций или метод Симпсона), получаем приближенное значение интеграла: $\int_{2}^{3} e^{x^2} dx \approx 1764.577$",user-dataset,
380,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \int_{-1}^0 (2x^2-x+7)/(x+3) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Разделим многочлен $2x^2 - x + 7$ на $x+3$ с остатком: $2x^2 - x + 7 = (x+3)(2x-7) + 28$. Тогда

$\displaystyle \int_{-1}^0 \frac{2x^2-x+7}{x+3} dx = \int_{-1}^0 (2x-7 + \frac{28}{x+3}) dx = x^2 - 7x + 28\ln|x+3| \Big|_{-1}^0 = (0 - 0 + 28\ln 3) - (1 + 7 + 28\ln 2) = 28\ln 3 - 8 - 28\ln 2 = 28\ln(3/2) - 8 \approx 28 \cdot 0.405 - 8 = 11.34 - 8 = 3.340$

Ответ: 3.340",user-dataset,
381,lineinaya-algebra,medium,Пусть \(A\in M_{m\times n}(\mathbb{R})\). Требуется обосновать равенство \( \mathcal{N}(A) = \mathcal{R}(A^T)^\perp\).,"Докажем, что \(\mathcal{N}(A) = \mathcal{R}(A^T)^\perp\). Пусть \(x \in \mathcal{N}(A)\), тогда \(Ax = 0\). Для любого \(y \in \mathcal{R}(A^T)\) существует \(z\), такой что \(y = A^Tz\). Тогда \(\langle x, y \rangle = \langle x, A^Tz \rangle = \langle Ax, z \rangle = \langle 0, z \rangle = 0\). Следовательно, \(x \in \mathcal{R}(A^T)^\perp\), и \(\mathcal{N}(A) \subseteq \mathcal{R}(A^T)^\perp\).

Теперь покажем обратное включение. Пусть \(x \in \mathcal{R}(A^T)^\perp\). Тогда для любого \(y \in \mathcal{R}(A^T)\) имеем \(\langle x, y \rangle = 0\). В частности, для любого \(z\) имеем \(\langle x, A^Tz \rangle = 0\). Тогда \(\langle Ax, z \rangle = 0\) для любого \(z\). Это означает, что \(Ax = 0\), то есть \(x \in \mathcal{N}(A)\). Следовательно, \(\mathcal{R}(A^T)^\perp \subseteq \mathcal{N}(A)\).

Таким образом, \(\mathcal{N}(A) = \mathcal{R}(A^T)^\perp\).",user-dataset,
382,nan,medium,"Пусть $a$ — положительный корень уравнения $x^{2017} - x - 1 = 0$, а $b$ — положительный корень уравнения $y^{4034} - y = 3a$. Найдите десятый знак после запятой числа $|a - b|$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",nan,user-dataset,
383,veroyatnost,medium,"Пусть \(X\sim \mathcal{N}(\mu,\sigma^2)\). Требуется получить характеристическую функцию \(\varphi_X(t)=\mathbb{E}e^{itX}=e^{it\mu-\frac12\sigma^2 t^2}\).","Характеристическая функция нормально распределенной случайной величины X ~ N(μ, σ²) вычисляется как \(\varphi_X(t) = \mathbb{E}e^{itX} = e^{it\mu - \frac{1}{2}\sigma^2 t^2}\).",user-dataset,
384,veroyatnost,easy,"Брошено три монеты. Найти вероятность, что первая монета выпала «гербом» вверх. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Вероятность выпадения герба на первой монете не зависит от результатов других монет. Вероятность выпадения герба на одной монете равна 1/2 = 0.5. 
Ответ: 0.500",user-dataset,
385,teoriya-chisel,medium,"Найди сумму всех целых оснований $ b > 9, $ для которых $ 17_b $ является делителем $ 97_b.$Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Представим числа в десятичной системе счисления: $17_b = 1*b + 7 = b+7$ и $97_b = 9*b + 7 = 9b+7$. По условию, $b+7$ является делителем $9b+7$. Тогда $9b+7 = k(b+7)$ для некоторого целого $k$. Выразим $9b+7$ через $b+7$: $9b+7 = 9(b+7) - 63 + 7 = 9(b+7) - 56$. Так как $b+7$ делит $9b+7$ и $9(b+7)$, то $b+7$ должно делить 56. Делители 56: 1, 2, 4, 7, 8, 14, 28, 56. Тогда $b+7$ может принимать значения 8, 14, 28, 56 (так как $b>9$, то $b+7 > 16$). Соответственно, $b$ может принимать значения 1, 7, 21, 49. Но $b>9$, поэтому $b$ может быть равно 21 или 49. Сумма всех возможных значений $b$ равна $21+49 = 70$. 
Ответ: 70.000",user-dataset,
386,matematicheskii-analiz,medium,"Вычисли $ \displaystyle \lim_{n \rightarrow \infty}(1/2+3/4+...+(2n-1))/2^n)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Пусть $S = \sum_{n=1}^{\infty} \frac{2n-1}{2^n}$.
Тогда $S = \frac{1}{2} + \frac{3}{4} + \frac{5}{8} + \frac{7}{16} + \dots$.
Умножим обе части на $\frac{1}{2}$: $\frac{1}{2}S = \frac{1}{4} + \frac{3}{8} + \frac{5}{16} + \dots$.
Вычитая второе уравнение из первого, получаем:
$\frac{1}{2}S = \frac{1}{2} + \frac{2}{4} + \frac{2}{8} + \frac{2}{16} + \dots = \frac{1}{2} + \frac{1}{2} + \frac{1}{4} + \frac{1}{8} + \dots = \frac{1}{2} + 1 = \frac{3}{2}$.
Следовательно, $S = 3$.
Ответ: 3.000",user-dataset,
