task,Название,Краткая формулировка,Тема,Уровень сложности
"Вычисли $ \displaystyle \lim_{x \rightarrow 3}(\sqrt{x+13}-2\sqrt{x+1})/(x^2-9)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к 3,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 2}(x^2-x-2)^{20}/(x^3-12x+16)^{10}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,"Вычислить предел рациональной функции при x, стремящемся к 2.",Мат. анализ,средний
"Колода из 36 карт хорошо перемешана. Найти вероятность, что места расположения тузов образуют арифметическую прогрессию с шагом 7. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность расположения тузов в арифметической прогрессии,"Найти вероятность, что места расположения тузов в колоде из 36 карт образуют арифметическую прогрессию с шагом 7.",Теор. вер. и статистика,средний
"Найти вероятность, что четырехзначный номер автомобиля имеет все цифры разные. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность уникальных цифр в номере автомобиля,"Найти вероятность, что четырехзначный номер автомобиля имеет все цифры разные.",Теор. вер. и статистика,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow \pi/3}\sin(x-\pi/3)/(1-2\cos x)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,"Вычислить предел функции при x, стремящемся к pi/3.",Мат. анализ,средний
"Вычислить определитель: \[ \begin{vmatrix} -7 & -2 & 2 \\ 16 & 3 & -5 \\ -8 & -3 & 2 \\ \end{vmatrix} \] Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определителя матрицы 3x3,Вычислить определитель матрицы 3x3.,Линал и геометрия,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 0} (x^2-1)/(2x^2-x-1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела рациональной функции,"Вычислить предел рациональной функции при x, стремящемся к 0.",Мат. анализ,легкий
"Вычислить интеграл: $\displaystyle \int_{0}^{12} \frac{x}{\sqrt{2x+1}} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,"Вычислить определённый интеграл от функции, содержащей корень.",Мат. анализ,средний
"Вычислить интеграл: $\displaystyle \int_{0}^{6} \frac{dx}{\sqrt{4x+1}}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от функции вида 1/sqrt(ax+b).,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^2 1/\sqrt{5-x^2}dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от функции $1/\sqrt{5-x^2}$ на отрезке от 0 до 2.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{n^2 + 2n}{n^2 + 2n + 2}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела последовательности,Вычислить предел последовательности вида (1 + a/n)^n,Мат. анализ,средний
"Вычисли $ \displaystyle \int_0^{+\infty} \dfrac{x^3e^{-x^2-y^2}(1-e^{-3y^2})}{y^2}dxdy.$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление двойного интеграла,Вычислить двойной интеграл от функции с экспонентами,Мат. анализ,сложный
"Найти вероятность, что четырехзначный номер автомобиля имеет две пары одинаковых цифр. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность четырехзначного номера с двумя парами одинаковых цифр,"Найти вероятность, что четырехзначный номер автомобиля имеет две пары одинаковых цифр.",Теор. вер. и статистика,средний
"Решить матричное уравнение: \[ \begin{pmatrix} 1 & 2 \\ 3 & 4 \end{pmatrix} X = \begin{pmatrix} 3 & 5 \\ -5 & 9 \end{pmatrix} \] Ответ запиши в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}, $ округлив по правилам математического округления до 3 знаков после запятой.",Решение матричного уравнения,Найти матрицу X в уравнении AX=B.,Линал и геометрия,легкий
"Вычислить интеграл: $\displaystyle \int_{0}^{1} (x^3 - \sqrt[3]{x}) dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от разности степенных функций.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{2n + \sin 3n}{n + \sqrt{\pi}}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с синусом,Вычислить предел последовательности $\frac{2n + \sin 3n}{n + \sqrt{\pi}}$ при $n \to \infty$.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_3^7 \sqrt{x-3} dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от функции с корнем.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow \infty} ((x+2)/(2x-1))^{x^2}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,"Вычислить предел функции при x, стремящемся к бесконечности.",Мат. анализ,средний
"В очереди из 10 человек найти вероятность, что A и B разделены тремя лицами. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность разделения двух людей в очереди,"Найти вероятность, что в очереди из 10 человек A и B разделены тремя лицами.",Теор. вер. и статистика,средний
"Вычисли $ \displaystyle \int_0^1 (2x-x^2-1)/(x+1) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от рациональной функции.,Мат. анализ,легкий
"Вычислить несобственный интеграл: $\displaystyle \int_{0}^{1} \frac{dx}{x}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл от 0 до 1 функции 1/x.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^2 (2x-1)/(2x+1) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл от рациональной функции.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n^2 + n \sin(n^2 - \ln n)}{(n + 1)^2 + (n - 1)^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения полиномов с осциллирующим членом,"Вычислить предел отношения функций, содержащих $n^2$ и $n \sin(n^2 - \ln n)$ в числителе и $(n+1)^2 + (n-1)^2$ в знаменателе при $n \to \infty$.",Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow +\infty} ((1+x)/(2+x))^{(1-\sqrt{x})/(1-x)}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к бесконечности,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 1} (x^{100}-2x+1)/(x^{50}-2x+1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к 1,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 0}(\sqrt{1+x}-\sqrt{1-x})/(\sqrt[3]{1+x}-\sqrt[3]{1-x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с корнями,"Вычислить предел функции при x стремящемся к 0, содержащей корни.",Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{2^{n+3} + 3^{n+2}}{4^n + 5^n}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения степенных функций,Вычислить предел отношения $2^{n+3} + 3^{n+2}$ к $4^n + 5^n$ при $n \to \infty$.,Мат. анализ,легкий
"Указать такие $N$, начиная с которых можно гарантировать выполнение неравенства $|a_n| < \varepsilon$ при $a_n = \frac{1}{n^2 + 7n + 1}$ и $\varepsilon = 0.01$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Оценка хвоста последовательности,"Найти N, при котором |a_n| < epsilon для заданной последовательности.",Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow 1} ((1+x)/(2+x))^{(1-\sqrt{x})/(1-x)}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к 1.,Мат. анализ,средний
"Вычислить определитель: \[ \begin{vmatrix} -1 & -1 & 2 \\ -1 & -1 & -1 \\ -3 & -1 & 2 \\ \end{vmatrix} \] Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определителя матрицы 3x3,Вычислить определитель матрицы 3x3.,Линал и геометрия,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{2n + 3} - \sqrt{n + 1})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел разности корней,Вычислить предел $\displaystyle \lim_{n \to \infty} (\sqrt{2n + 3} - \sqrt{n + 1})$.,Мат. анализ,легкий
"Указать предел последовательности $x_n = \frac{3n - 2}{2n}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности,Найти предел последовательности (3n - 2) / (2n).,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\sqrt{n^2 + 1}}{2n + 3}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения функций,Вычислить предел при n стремящемся к бесконечности от дроби с корнем.,Мат. анализ,легкий
"Вычислить интеграл: $\displaystyle \int_{1}^{2} \frac{2x}{x^2 - 16} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл функции $\frac{2x}{x^2 - 16}$ от 1 до 2.,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_1^6 (7-x-6/x) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,"Вычислить определённый интеграл от функции $7-x-6/x$ на отрезке $[1,6]$.",Мат. анализ,легкий
"Из ящика с тремя билетами (номера 1, 2, 3) вынимают по одному все билеты. Все последовательности равновероятны. Найти вероятность, что хотя бы у одного билета порядковый номер совпадает с собственным. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Совпадение порядкового номера билета с собственным,"Найти вероятность, что хотя бы у одного билета порядковый номер совпадает с собственным при вынимании всех билетов из ящика.",Теор. вер. и статистика,средний
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^4 + 2n^3 + n + 1} - \sqrt{n^4 + 2n^3 + 2n + 1})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел разности корней,Вычислить предел разности двух квадратных корней при n стремящемся к бесконечности.,Мат. анализ,средний
"Колода из 36 карт хорошо перемешана. Найти вероятность, что четыре туза расположены рядом. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность расположения тузов рядом,"Найти вероятность, что четыре туза в колоде из 36 карт расположены рядом.",Теор. вер. и статистика,средний
"Брошена игральная кость. Найти вероятность выпадения 4. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность выпадения числа на игральной кости,Найти вероятность выпадения 4 на игральной кости.,Теор. вер. и статистика,легкий
"Вычислить несобственный интеграл: $\displaystyle \int_{0}^{1} \frac{dx}{\sqrt{x}}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл от 0 до 1 функции 1/sqrt(x).,Мат. анализ,легкий
"Вычисли $ \displaystyle \int_1^2 \left(\dfrac{x^4}{x^6+1}\right)^2dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от рациональной функции,Мат. анализ,средний
"Вычислить определитель: \[ \begin{vmatrix} 3 & 2 & -1 \\ 1 & 4 & 1 \\ -2 & 6 & 4 \\ \end{vmatrix} \] Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определителя матрицы 3x3,Вычислить определитель матрицы 3x3.,Линал и геометрия,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \left(1 + \frac{3}{n + 1}\right)^n$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с экспонентой,Вычислить предел вида (1 + a/n)^n,Мат. анализ,легкий
"Вычислить интеграл: $\displaystyle \int_{0}^{\sqrt{\pi}} x \cos x^2 dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,Вычислить определенный интеграл функции $x \cos x^2$ от 0 до $\sqrt{\pi}$.,Мат. анализ,легкий
"Указать предел последовательности $x_n = \frac{(n + 1) \sin \frac{\pi n}{2}}{n^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с синусом,Найти предел последовательности $x_n = \frac{(n + 1) \sin \frac{\pi n}{2}}{n^2}$,Мат. анализ,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow 7}(\sqrt{x+2}-\sqrt[3]{x+20})/(\sqrt[4]{x+9}-2)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к 7.,Мат. анализ,средний
"Вычислить несобственный интеграл: $\displaystyle \int_{1}^{+\infty} e^{2x} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла от экспоненты,Вычислить несобственный интеграл $\int_{1}^{+\infty} e^{2x} dx$.,Мат. анализ,легкий
"Найти вероятность, что четырехзначный номер автомобиля имеет только две одинаковые цифры. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность двух одинаковых цифр в четырехзначном номере,"Найти вероятность, что четырехзначный номер автомобиля имеет только две одинаковые цифры.",Теор. вер. и статистика,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{\cos n}{n + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения косинуса к линейной функции,Вычислить предел $\lim_{n \to \infty} \frac{\cos n}{n + 1}$.,Мат. анализ,легкий
"Найдите рациональные корни многочлена: $x^5 + x^4 - 6x^3 - 14x^2 - 11x - 3$. Ответы запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой, по возрастанию.",Поиск рациональных корней многочлена,Найти рациональные корни многочлена пятой степени.,Дискретная математика,средний
"Найти площадь фигуры, ограниченной линиями: $f(x) = \frac{1}{(x+1)(x+2)}$, $x = 1$, $x = 2$, $y = 0$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Площадь фигуры, ограниченной функциями","Найти площадь фигуры, ограниченной графиком функции $f(x) = \frac{1}{(x+1)(x+2)}$, прямыми $x=1$, $x=2$ и осью $y=0$.",Мат. анализ,легкий
"Вычисли $ \displaystyle \int_1^2 (x^6+x^3)\sqrt[3]{x^3+2}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,"Вычислить определенный интеграл от функции, содержащей степень и кубический корень.",Мат. анализ,средний
"Указать такие $N$, начиная с которых можно гарантировать выполнение неравенства $|a_n| < \varepsilon$ при $a_n = \frac{1}{n}$ и $\varepsilon = 0.1$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Оценка хвоста последовательности,"Найти N, при котором |1/n| < 0.1",Мат. анализ,легкий
"Вычисли $ \displaystyle \int_0^{0.9} \dfrac{x^3 e^{\sin^{-1}(x)}}{\sqrt{1-x^2}}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Определенный интеграл с обратной тригонометрической функцией,"Вычислить определенный интеграл от функции, содержащей $x^3$, экспоненту и обратную тригонометрическую функцию.",Мат. анализ,средний
"Пусть $ k - $ действительное число такое, что система $|25+20i-z|=5 $ и $ |z-4-k|=|z-3i-k| $ имеет ровно одно комплексное решение $ z. $ Сумма всех возможных значений $ k $ может быть записана как $ \dfrac{m}{n}, $ где $ m $ и $ n - $ взаимно простые положительные целые числа. Найди $ m + n.$ Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Комплексные числа и геометрия,"Найти сумму значений k, при которых система уравнений имеет единственное комплексное решение.",Линал и геометрия,сложный
"Вычисли $ \displaystyle \int_0^{0.9} \dfrac{x\arcsin(x)}{\sqrt{1-x^2}}dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла,"Вычислить определенный интеграл от функции, содержащей арксинус.",Мат. анализ,средний
"Вычисли $ \displaystyle \int_1^2 \log(x\sqrt{x^2+1}+1)dx$.Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла от логарифмической функции,Вычислить определённый интеграл от сложной логарифмической функции.,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^4 + 2n^3 + 1} - \sqrt{n^4 + n^3 + 2n + 1})$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела с корнями,Вычислить предел разности квадратных корней.,Мат. анализ,средний
"Бросаем монету до первого герба. Найти вероятность, что потребуется четное число бросков. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность четного числа бросков до первого герба,"Найти вероятность, что потребуется четное число бросков монеты до первого герба.",Теор. вер. и статистика,средний
"Вычислить интеграл: $\displaystyle \int_{0}^{\pi/2} \sin x dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла от синуса,"Вычислить определенный интеграл от sin(x) на отрезке [0, π/2].",Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} (\sqrt{n^2 + 4n} - n)$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с корнями,"Вычислить предел разности корня и линейной функции при n, стремящемся к бесконечности.",Мат. анализ,легкий
"Вычислить интеграл: $\displaystyle \int_{0}^{\pi/2} \cos^3 x dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определенного интеграла от степенной функции косинуса,"Вычислить определенный интеграл от cos^3 x на отрезке [0, pi/2].",Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{n \rightarrow \infty }\sqrt[3]{n^2}\sin(n!)/(n+1)$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел с синусом факториала,Вычислить предел $\displaystyle \lim_{n \rightarrow \infty }\sqrt[3]{n^2}\sin(n!)/(n+1)$,Мат. анализ,средний
"Решите уравнение $2x^x = \sqrt{2}$ в положительных числах. Ответы запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой, по возрастанию.",Решение уравнения с экспонентой,Решить уравнение $2x^x = \sqrt{2}$ в положительных числах.,Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n^2 + 3^{-n}n}{(n + 2)^2 + (n + 3)^2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения многочленов,Вычислить предел отношения многочленов при n стремящемся к бесконечности.,Мат. анализ,легкий
"Вычислить интеграл: $\displaystyle \int_{-1}^{1} x e^{x^2} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Определенный интеграл от нечетной функции,Вычислить определенный интеграл от функции $x e^{x^2}$ на симметричном интервале.,Мат. анализ,легкий
"Указать такие $N$, начиная с которых можно гарантировать выполнение неравенства $|a_n| < \varepsilon$ при $a_n = \frac{1}{n^2 + 7n + 1}$ и $\varepsilon = 1$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Оценка члена последовательности,"Найти N, при котором |a_n| < epsilon для заданной последовательности.",Мат. анализ,легкий
"Вычислить несобственный интеграл: $\displaystyle \int_{0}^{+\infty} xe^{-x} dx$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление несобственного интеграла,Вычислить несобственный интеграл $\int_{0}^{+\infty} xe^{-x} dx$.,Мат. анализ,средний
"Из множества всех последовательностей длины $n$ из цифр 0, 1, 2 случайно выбирается одна. Найти вероятность, что последовательность начинается с 0. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.","Вероятность последовательности, начинающейся с 0","Найти вероятность, что случайно выбранная последовательность длины n из цифр 0, 1, 2 начинается с 0.",Теор. вер. и статистика,легкий
"Указать предел последовательности $x_n = \frac{\cos \frac{\pi n}{2}}{n + 2}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с косинусом,Найти предел последовательности $x_n = \frac{\cos \frac{\pi n}{2}}{n + 2}$.,Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow \infty} ((x^2+2x-1)/(2x^2-3x-2))^{1/x}$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции вида (P(x)/Q(x))^(1/x) при x стремящемся к бесконечности.,Мат. анализ,средний
"Найти обратную матрицу для: \[ \begin{pmatrix} 25 & 5 & 3 \\ 10 & 2 & 1 \\ 4 & 1 & 1 \end{pmatrix} \] Ответ запиши в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}, $ округлив по правилам математического округления до 3 знаков после запятой.",Нахождение обратной матрицы,Найти обратную матрицу для заданной матрицы 3x3.,Линал и геометрия,средний
"Вычисли $ \displaystyle \lim_{x \rightarrow -3}(\sqrt{1-x}-3)/(2+\sqrt[3]{x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,"Вычислить предел функции при x, стремящемся к -3.",Мат. анализ,средний
"Вычисли $ \displaystyle \int_{-1}^0 (2x^2-x+7)/(x+3) dx$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление определённого интеграла,Вычислить определённый интеграл от рациональной функции.,Мат. анализ,легкий
"Решить матричное уравнение: \[ X \begin{pmatrix} 3 & -2 \\ 5 & -4 \end{pmatrix} = \begin{pmatrix} -1 & 2 \\ -5 & 6 \end{pmatrix} \] Ответ запиши в формате $ a_{11}; a_{12}; \dots; a_{1n}; a_{21}; a_{22}; \dots; a_{mn}, $ округлив по правилам математического округления до 3 знаков после запятой.",Решение матричного уравнения,"Найти матрицу X, удовлетворяющую уравнению AX = B.",Линал и геометрия,легкий
"Решите уравнение $[x^3] + [x^2] + [x] = \{x\} - 1$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Решение уравнения с целой и дробной частью,"Найти x, удовлетворяющий уравнению с целой и дробной частью.",Мат. анализ,средний
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{2^n + 729n^{10}}{2^{n+1} + 1024n^8}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел отношения функций с экспонентой,"Вычислить предел отношения функций, содержащих экспоненту и степенные функции.",Мат. анализ,легкий
"Студент знает 24 из 30 вопросов. Найти вероятность сдать зачет при возможности ответа на 2 вопроса. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вероятность сдачи зачета,"Найти вероятность сдать зачет, зная 24 из 30 вопросов, при ответе на 2 вопроса.",Теор. вер. и статистика,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \frac{n^2 - 2n - 1}{n^3 + 2n + 1}$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел рациональной функции,Вычислить предел отношения многочленов при n стремящемся к бесконечности.,Мат. анализ,легкий
"Вычислить $\displaystyle \lim_{n \to \infty} \left(\frac{2}{1 + 2^{-n}} + \frac{1}{n}\right)$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Предел последовательности с суммой,Вычислить предел последовательности $\left(\frac{2}{1 + 2^{-n}} + \frac{1}{n}\right)$ при $n \to \infty$.,Мат. анализ,легкий
"Найти площадь фигуры, ограниченной линиями: $y = x$, $y = x^3$. Ответ запишите в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Площадь между кривыми,"Найти площадь фигуры, ограниченной линиями y=x и y=x^3.",Мат. анализ,легкий
"Вычисли $ \displaystyle \lim_{x \rightarrow +\infty}x^{3/2}(\sqrt{x+2}-2\sqrt{x+1}+\sqrt{x})$. Ответ запиши в виде десятичной дроби, округлив по правилам математического округления до 3 знаков после запятой.",Вычисление предела функции,Вычислить предел функции при x стремящемся к бесконечности.,Мат. анализ,средний
